Pos,Title,Director,Year,Country,Length,Genre,Colour
99,Last Year at Marienbad,"Resnais, Alain",1961,France-Italy,94,Drama-Mystery-Avant-Garde,BW
100,To Be or Not to Be,"Lubitsch, Ernst",1942,USA,99,War-Comedy,BW
101,Sans soleil,"Marker, Chris",1983,France,100,Avant-Garde-Documentary,Col
102,Aguirre: The Wrath of God,"Herzog, Werner",1972,West Germany,94,History-Drama-Adventure,Col
103,"Mother and the Whore, The","Eustache, Jean",1973,France,210,Drama,BW
104,"Wizard of Oz, The","Fleming, Victor",1939,USA,101,Musical-Fantasy-Family,Col-BW
105,"Spirit of the Beehive, The","Erice, Victor",1973,Spain,95,Drama,Col
106,Hiroshima mon amour,"Resnais, Alain",1959,France-Japan,91,Drama,BW
107,Madame de...,"Ophüls, Max",1953,France-Italy,105,Romance-Drama,BW
108,Gone with the Wind,"Fleming, Victor",1939,USA,222,History-Romance-Drama,Col
109,Sátántangó,"Tarr, Béla",1994,Hungary-Germany-Switzerland,450,Drama-Comedy-Mystery,BW
110,"Eclisse, L'","Antonioni, Michelangelo",1962,Italy-France,126,Drama-Romance,BW
111,Alien,"Scott, Ridley",1979,USA,117,Science Fiction-Horror,Col
112,Intolerance,"Griffith, D.W.",1916,USA,178,History-Drama,BW
113,One Flew Over the Cuckoo's Nest,"Forman, Milos",1975,USA,133,Drama,Col
114,E.T. The Extra-Terrestrial,"Spielberg, Steven",1982,USA,115,Science Fiction-Family,Col
115,Beau travail,"Denis, Claire",1999,France,92,Drama,Col
116,Nosferatu,"Murnau, F.W.",1922,Germany,84,Horror,BW
117,"Jetée, La","Marker, Chris",1962,France,27,Science Fiction-Drama-Short,BW
118,Yi yi,"Yang, Edward",2000,Taiwan-Japan,173,Drama,Col
119,Ikiru,"Kurosawa, Akira",1952,Japan,143,Drama,BW
120,Star Wars,"Lucas, George",1977,USA,121,Science Fiction-Fantasy-Adventure,Col
121,Letter from an Unknown Woman,"Ophüls, Max",1948,USA,90,Romance-Drama,BW
122,Sherlock Jr.,"Keaton, Buster",1924,USA,45,Fantasy-Comedy,BW
123,Manhattan,"Allen, Woody",1979,USA,96,Romance-Comedy,BW
124,"Brighter Summer Day, A","Yang, Edward",1991,Taiwan,237,Crime-Romance-Drama,Col
125,Bringing Up Baby,"Hawks, Howard",1938,USA,102,Romance-Comedy,BW
126,Partie de campagne,"Renoir, Jean",1936,France,40,Romance-Drama-Short,BW
127,Vivre sa vie,"Godard, Jean-Luc",1962,France,85,Drama,BW
128,Don't Look Now,"Roeg, Nicolas",1973,UK,110,Mystery-Thriller,Col
129,All About Eve,"Mankiewicz, Joseph L.",1950,USA,138,Drama,BW
130,Rosemary's Baby,"Polanski, Roman",1968,USA,136,Thriller-Horror-Drama,Col
131,"Rome, Open City","Rossellini, Roberto",1945,Italy,105,War-Drama,BW
132,My Darling Clementine,"Ford, John",1946,USA,97,Western,BW
133,"Olvidados, Los","Buñuel, Luis",1950,Mexico,88,Drama-Crime,BW
134,His Girl Friday,"Hawks, Howard",1940,USA,92,Romance-Comedy,BW
135,"Âge d'or, L'","Buñuel, Luis",1930,France,63,Drama-Avant-Garde-Experimental,BW
136,Badlands,"Malick, Terrence",1973,USA,95,Drama-Crime,Col
137,Do the Right Thing,"Lee, Spike",1989,USA,120,Drama-Comedy,Col
138,"Good, the Bad and the Ugly, The","Leone, Sergio",1966,Italy-Spain,161,Western-Action,Col
139,Notorious,"Hitchcock, Alfred",1946,USA,101,Romance-Thriller-Mystery,BW
140,"Lady Eve, The","Sturges, Preston",1941,USA,94,Romance-Comedy,BW
141,"Chien andalou, Un","Buñuel, Luis",1928,France,16,Horror-Fantasy-Avant-Garde,BW
142,Ali: Fear Eats the Soul,"Fassbinder, Rainer Werner",1974,West Germany,94,Romance-Drama,Col
143,Stagecoach,"Ford, John",1939,USA,96,Western-Action-Drama,BW
144,"Gospel According to St. Matthew, The","Pasolini, Pier Paolo",1964,Italy-France,135,Religious-Drama,BW
145,Come and See,"Klimov, Elem",1985,USSR,136,War-Drama-History,Col
146,Duck Soup,"McCarey, Leo",1933,USA,70,Comedy,BW
147,"Passenger, The","Antonioni, Michelangelo",1975,Italy,119,Drama,Col
148,Trouble in Paradise,"Lubitsch, Ernst",1932,USA,83,Romance-Comedy,BW
149,Brief Encounter,"Lean, David",1945,UK,85,Romance-Drama,BW
150,Cries and Whispers,"Bergman, Ingmar",1972,Sweden,106,Drama,Col
151,"Conversation, The","Coppola, Francis Ford",1974,USA,113,Thriller-Drama-Crime,Col
152,Days of Heaven,"Malick, Terrence",1978,USA,95,Romance-Drama,Col
153,Histoire(s) du cinéma,"Godard, Jean-Luc",1998,France,265,Documentary,Col-BW
154,"Matter of Life and Death, A","Powell, Michael/Emeric Pressburger",1946,UK,104,Romance-Fantasy-Comedy,Col-BW
155,Double Indemnity,"Wilder, Billy",1944,USA,106,Mystery-Crime,BW
156,"Exterminating Angel, The","Buñuel, Luis",1962,Mexico,95,Drama-Fantasy-Mystery,BW
157,"Umbrellas of Cherbourg, The","Demy, Jacques",1964,France-Germany,91,Romance-Musical-Drama,Col
158,On the Waterfront,"Kazan, Elia",1954,USA,108,Drama,BW
159,Spirited Away,"Miyazaki, Hayao",2001,Japan,124,Animated-Adventure-Fantasy,Col
160,"Deer Hunter, The","Cimino, Michael",1978,USA,183,War-Drama,Col
161,Spring in a Small Town,Fei Mu,1948,China,85,Romance-Drama,BW
162,"Red Shoes, The","Powell, Michael/Emeric Pressburger",1948,UK,133,Dance-Musical-Drama,Col
163,There Will Be Blood,"Anderson, Paul Thomas",2007,USA,158,Drama,Col
164,Chimes at Midnight,"Welles, Orson",1965,France-Spain-Switzerland,115,War-Drama-Comedy,BW
165,"Discreet Charm of the Bourgeoisie, The","Buñuel, Luis",1972,France,100,Fantasy-Drama-Comedy,Col
166,"Piano, The","Campion, Jane",1993,New Zealand-Australia-France,121,History-Drama-Romance,Col
167,"Tree of Life, The","Malick, Terrence",2011,USA,139,Drama,Col
168,Rocco and His Brothers,"Visconti, Luchino",1960,Italy-France,180,Drama,BW
169,King Kong,"Cooper, Merian C./Ernest B. Schoedsack",1933,USA,103,Fantasy-Adventure-Horror,BW
170,Earth,"Dovzhenko, Alexander",1930,USSR,75,Drama,BW
171,"Argent, L'","Bresson, Robert",1983,France-Switzerland,90,Drama-Crime,Col
172,"River, The","Renoir, Jean",1951,France-India-USA,99,Romance-Drama,Col
173,Black Narcissus,"Powell, Michael/Emeric Pressburger",1947,UK,99,Drama-Religious,Col
